,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,contextual_relevancy,contextual_relevancy,contextual_relevancy,contextual_relevancy,contextual_relevancy,hallucination,hallucination,hallucination,hallucination,hallucination,factual_correctness,factual_correctness,factual_correctness,factual_correctness,factual_correctness,bleu1,bleu1,bleu1,bleu1,bleu1,bleu2,bleu2,bleu2,bleu2,bleu2,bleu3,bleu3,bleu3,bleu3,bleu3,bleu4,bleu4,bleu4,bleu4,bleu4,rouge1,rouge1,rouge1,rouge1,rouge1,rouge2,rouge2,rouge2,rouge2,rouge2,rougeL,rougeL,rougeL,rougeL,rougeL,bert_precision,bert_precision,bert_precision,bert_precision,bert_precision,bert_recall,bert_recall,bert_recall,bert_recall,bert_recall,bert_f1,bert_f1,bert_f1,bert_f1,bert_f1
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
source_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001586-005-006.txt,5,1.0,0.0,1.0,1.0,5,0.8800000000000001,0.2683281572999748,0.4,1.0,5,0.6028571428571429,0.18989793176808406,0.35714285714285715,0.8,5,0.2,0.4472135954999579,0.0,1.0,5,0.8141836188725463,0.08373682379407994,0.6747247856468614,0.9,5,0.17303981119884487,0.1099966722731697,0.06397903324720736,0.28931350933182165,5,0.08253102698973244,0.09905550701037469,2.7964813634246583e-155,0.19522920688570042,5,0.0588600192971928,0.08079783997225416,2.3493485478522653e-204,0.15519367115910773,5,0.04112360682042146,0.05704386117504722,5.65214576015456e-232,0.11570040189961882,5,0.2654280770201446,0.1684542603654125,0.1095890410958904,0.46511627906976744,5,0.0937290409121395,0.11795020871247701,0.0,0.25,5,0.1962757668157477,0.13651881021343762,0.0821917808219178,0.38095238095238104,5,0.8627864241600036,0.029122681697583138,0.8295574188232422,0.8946385979652405,5,0.840302574634552,0.035835510076592865,0.7873396873474121,0.8715099692344666,5,0.8513602018356323,0.03227100247715949,0.8078973889350891,0.8829228281974792
1001586-009-016.txt,5,1.0,0.0,1.0,1.0,5,1.0,0.0,1.0,1.0,5,0.7785964912280702,0.248524113818512,0.5,1.0,5,0.4,0.5477225575051662,0.0,1.0,5,0.7709612002515684,0.2298194295201465,0.3667262929906959,0.9,5,0.28242694740682683,0.10008083403750384,0.10792706338838051,0.3478260869565218,5,0.1978428538836093,0.08456711609505288,0.05552801600907938,0.26779057487305247,5,0.14731709224673303,0.09159559215809057,3.4622487165507545e-103,0.22659968495838206,5,0.10209298712865911,0.0955282738775542,2.4496257076909264e-155,0.1996574716097466,5,0.39717852060584374,0.10270819172958842,0.23076923076923075,0.48275862068965525,5,0.2077004018998904,0.11648152666788594,0.039999999999999994,0.3,5,0.3060127763321934,0.12761929111675274,0.11538461538461538,0.41379310344827586,5,0.867197322845459,0.03257898873229005,0.8226635456085205,0.8973497152328491,5,0.85691397190094,0.025394565154493606,0.823893666267395,0.8903756141662598,5,0.861921489238739,0.027098500704630938,0.8232781887054443,0.884908139705658
1001586-017-038.txt,5,1.0,0.0,1.0,1.0,5,1.0,0.0,1.0,1.0,5,0.8785502079619727,0.13266697897396917,0.7058823529411765,1.0,5,0.4,0.5477225575051662,0.0,1.0,5,0.7989589855101429,0.1540920164988428,0.5371108921129678,0.8989013057096168,5,0.1645107298372535,0.054204047222106526,0.06936802496523911,0.20397068518255185,5,0.07544571646414647,0.02794189136426743,0.04136309847658057,0.10891484686693563,5,0.01979670059427877,0.03080042828489104,3.9685108279668795e-103,0.0701720001784047,5,0.009643018747964272,0.021562445428753022,2.86679776170299e-155,0.04821509373982136,5,0.28440434230812794,0.044274690806318906,0.2295081967213115,0.3296703296703296,5,0.08688650588143264,0.029425634400886542,0.06779661016949153,0.136986301369863,5,0.19532380964701757,0.060847198580939635,0.13483146067415733,0.29333333333333333,5,0.8531438708305359,0.023758155240250038,0.8137998580932617,0.878292441368103,5,0.8339791297912598,0.018495566835962686,0.8077373504638672,0.8539503216743469,5,0.8431621670722962,0.012367327104505076,0.8332130312919617,0.8634516000747681
1001586-039-074.txt,5,1.0,0.0,1.0,1.0,5,0.9333333333333332,0.14907119849998599,0.6666666666666666,1.0,5,0.7411616161616161,0.15681492864108865,0.625,1.0,5,0.4,0.5477225575051662,0.0,1.0,5,0.7805914424876319,0.2661953714060109,0.30476626712245775,0.9171334477798367,5,0.28694768424619493,0.15143539742809356,0.050736933309364296,0.41366106794770574,5,0.20481529552233546,0.13586422628337202,0.04240140789668199,0.35639342567529164,5,0.16941179546616963,0.1453907195827417,4.780612101264092e-103,0.3364465374524373,5,0.15223035493538115,0.1358738686535692,3.282047061159393e-155,0.31769363835281156,5,0.36366777726185334,0.12151501780464467,0.1686746987951807,0.48,5,0.21671104813675096,0.10487238647841296,0.09876543209876544,0.3132530120481928,5,0.32582779529205397,0.1175726161441983,0.1686746987951807,0.44,5,0.8843612790107727,0.010465035962190934,0.8692033290863037,0.897504985332489,5,0.867058002948761,0.03681021241078165,0.8089451789855957,0.9107421636581421,5,0.8754528641700745,0.02394595669634569,0.8379923701286316,0.9040751457214355
1001586-075-102.txt,5,1.0,0.0,1.0,1.0,5,0.8,0.4472135954999579,0.0,1.0,5,0.9357264957264958,0.1060834923834593,0.7555555555555555,1.0,5,0.2,0.447213595499958,0.0,1.0,5,0.8019713150442769,0.05784369193063242,0.7167043916223615,0.8622459324198198,5,0.16419682535322666,0.11699563403729842,0.04532908674803515,0.2905826625124843,5,0.09606159956792529,0.08514015544503548,0.020657947780658582,0.20132157410810517,5,0.05927399616821721,0.07086362938207222,1.4281152145302225e-103,0.14494913380303304,5,0.039811384237045014,0.0545263463962301,1.0607210021850665e-155,0.10117047821803984,5,0.3068756913719798,0.06292881046900697,0.24074074074074073,0.40579710144927533,5,0.13386338177491638,0.05720264218230926,0.07317073170731708,0.2058823529411765,5,0.2500179675789432,0.057757746558565734,0.1904761904761905,0.3333333333333333,5,0.8754448413848877,0.010259356802720538,0.8643749952316284,0.8922938108444214,5,0.8356562972068786,0.027260319088623117,0.8053107261657715,0.8643496632575989,5,0.8549166917800903,0.016362230183916457,0.8385697603225708,0.8780995011329651
1001586-103-122.txt,5,0.95,0.11180339887498947,0.75,1.0,5,1.0,0.0,1.0,1.0,5,0.9647058823529411,0.07892004626469849,0.8235294117647058,1.0,5,0.2,0.447213595499958,0.0,1.0,5,0.787122346053089,0.17719740875524936,0.47710319176416627,0.8999999999999998,5,0.1963914209871543,0.10280442230002933,0.10417462255649593,0.37225089001774603,5,0.09623174472925837,0.10368637663940519,5.194120096460954e-155,0.27315747442328914,5,0.06326618123995117,0.0968341105338447,3.83335167440148e-204,0.23231108391379218,5,0.03895540882649262,0.0871069422273328,8.676910262183261e-232,0.1947770441324631,5,0.30642645868817503,0.06843069877485715,0.24615384615384617,0.42105263157894735,5,0.10538528138528139,0.08212193501332368,0.0,0.22222222222222224,5,0.231946472909891,0.1144794616336851,0.1095890410958904,0.42105263157894735,5,0.8681302785873413,0.009706502455150015,0.8590593338012695,0.8827840089797974,5,0.8440492033958436,0.026322916580342023,0.8184007406234741,0.8854451775550842,5,0.8558232426643372,0.017312359663924224,0.8382372856140137,0.8841125965118408
1001586-123-126.txt,5,1.0,0.0,1.0,1.0,5,0.8333333333333333,0.23570226039551584,0.5,1.0,5,0.8517316017316017,0.12410074580270389,0.6666666666666666,1.0,5,0.8,0.4472135954999579,0.0,1.0,5,0.7328571243396538,0.23888208094408153,0.31687949486432765,0.893991334856365,5,0.12721979072953282,0.10813306586942961,0.0,0.2692307692307693,5,0.020754980866510835,0.04640954808922571,0.0,0.10377490433255418,5,1.3374409104912212e-103,2.9906087917475817e-103,0.0,6.687204552456106e-103,5,9.610553091252744e-156,2.1489850013411882e-155,0.0,4.805276545626372e-155,5,0.18158947970268724,0.14026347076546045,0.0,0.3333333333333333,5,0.02110459278050843,0.019692458597521303,0.0,0.0392156862745098,5,0.13161806746712407,0.10730900148419613,0.0,0.2641509433962264,5,0.8300372362136841,0.03587747920953673,0.7682667970657349,0.8553235530853271,5,0.8322454452514648,0.06828370208805791,0.7106841802597046,0.8725645542144775,5,0.8307937979698181,0.05179816356118682,0.738354504108429,0.8589409589767456
1001586-127-131.txt,5,0.96,0.08944271909999157,0.8,1.0,5,0.76,0.25099800796022265,0.5,1.0,5,0.795,0.25763346055976505,0.375,1.0,5,0.4,0.5477225575051661,0.0,1.0,5,0.7189757308715341,0.2052638909613641,0.3816951447086298,0.8989013059383278,5,0.20854945891340887,0.14136890638086644,0.0728929273883361,0.43035398821252896,5,0.10571268299920242,0.09394839585098655,2.2742941605941835e-155,0.24183806359047014,5,0.06495470901976992,0.07472887960759463,1.743363764681605e-204,0.18033383841769657,5,0.025944623945923534,0.05801394279375385,4.017235191123041e-232,0.12972311972961767,5,0.31954468295931715,0.16516042383411433,0.14634146341463414,0.576923076923077,5,0.11080658733020796,0.10663320694233407,0.0,0.27999999999999997,5,0.2442979784443199,0.135459990009109,0.12987012987012989,0.4615384615384615,5,0.8746371150016785,0.0289991047725036,0.8353654146194458,0.9081387519836426,5,0.8403268456459045,0.05208986742437861,0.7842774391174316,0.9188895225524902,5,0.8569564342498779,0.040260310217802985,0.809015691280365,0.9134825468063354
